"","Character","Occupation","Category"
"1139","Jewel","American singer-songwriter, guitarist, producer, actress, author, and poet","Musical / Acting Entertainer"
"1140","Jihan Sadat","widow of Anwar Sadat, and was First Lady of Egypt from 1970 until Sadat's assassination in 1981","other"
"1141","Jill Kelley","philanthropist, an American socialite, a former South Korean Honorary Consul and the first honorary Ambassador to the United States Central Command Coalition whose reporting of harassing e-mails she received led to the David Petraeus scandal","other"
"1142","Jim Acosta","American journalist who is currently the Senior White House Correspondent for CNN","News Entertainer"
"1143","Jim Bakker","American televangelist, a former Assemblies of God minister and a former host of The PTL Club, an evangelical Christian television program","News Entertainer"
"1144","Jim Brown","former professional American football player and actor","Athlete"
"1145","Jim Carrey","Canadian-American actor, comedian, impressionist, screenwriter, and producer","Acting Entertainer"
"1146","Jim Cramer","American television personality, former hedge fund manager, and best-selling author","News Entertainer"
"1147","Jim Fowler","professional zoologist and was host of the Emmy Award-winning television show Mutual of Omaha's Wild Kingdom","News Entertainer"
"1148","Jim Gilmore","American politician who was the 68th Governor of Virginia from 1998 to 2002","U.S. Politician"
"1149","Jim Gray","American sportscaster","News Entertainer"
"1150","Jim Guy Tucker","Arkansas political figure","U.S. Politician"
"1151","Jim Lange","American game show host and disc jockey","News Entertainer"
"1152","Jim Lehrer","American journalist and a novelist","News Entertainer"
"1153","Jim McKay","American television sports journalist","News Entertainer"
"1154","Jim McMahon","former American football player","Athlete"
"1155","Jim Miklaszewski","chief Pentagon correspondent for NBC news, also known for reporting live for the Today Show on September 11, 2001 when a plane hit the Pentagon","News Entertainer"
"1156","Jim Morrison","American singer, songwriter, and poet, best remembered as the lead singer of The Doors","Musical Entertainer"
"1157","Jim Nantz","American sportscaster","News Entertainer"
"1158","Jim Palmer","retired American right-handed pitcher who played all of his 19 years in Major League Baseball (MLB) with the Baltimore Orioles (1965–67, 1969–84) and was elected to the Baseball Hall of Fame in 1990","Athlete"
"1159","Jim Parsons","American actor","Acting Entertainer"
"1160","Jim Simpson","American theater and film director, husband of actress Sigourney Weaver","Musical / Acting Entertainer"
"1161","Jim VandeHei","co-founder and CEO of Axios and the former executive editor and co-founder of Politico","Business Leader"
"1162","Jim Webb","American politician and author","U.S. Politician"
"1163","Jimi Hendrix","American rock guitarist, singer, and songwriter","Musical Entertainer"
"1164","Jimmy ""The Greek"" Snyder","American sports commentator and Las Vegas bookmaker","News Entertainer"
"1165","Jimmy ""The Weasel"" Fratianno","Italian-born American mobster originally from Cleveland, Ohio, and later acting head of the Los Angeles crime family before becoming a US government witness","Criminal"
"1166","Jimmy Buffett","American musician, songwriter, author, actor, and businessman","Musical / Acting Entertainer"
"1167","Jimmy Carter","American politician who served as the 39th President of the United States from 1977 to 1981","U.S. Politician"
"1168","Jimmy Fallon","American comedian, television host, actor, singer, writer, and producer","Musical / Acting Entertainer"
"1169","Jimmy Hoffa","American labor union leader and author who served as the President of the International Brotherhood of Teamsters (IBT) union from 1958 until 1971","other"
"1170","Jimmy Johnson","American football broadcaster, former player, coach and executive","Athlete / News Entertainer"
"1171","Jimmy McMillan","American political activist, perennial candidate, karate expert, and Vietnam War veteran, as well as a former postal worker, stripper and private investigator from Brooklyn, New York","other"
"1172","Jimmy Stewart","American actor and military officer who is among the most honored and popular stars in film history","Acting Entertainer"
"1173","Jimmy Swaggart","American evangelist, Christian music singer, pianist, pastor, and author","Musical Entertainer"
"1174","Jo Anne Worley","American actress","Acting Entertainer"
"1175","Joan Baez","American folk singer, songwriter, musician, and activist whose contemporary folk music often includes songs of protest or social justice","Musical Entertainer"
"1176","Joan Collins","English actress, author, and columnist","Acting Entertainer"
"1177","Joan Crawford","American film and television actress who began her career as a dancer and stage showgirl","Musical / Acting Entertainer"
"1178","Joan Cusack","American actress","Acting Entertainer"
"1179","Joan Embery","actress","Acting Entertainer"
"1180","Joan Jett","American rock singer, songwriter, composer, musician, record producer and occasional actress","Musical / Acting Entertainer"
"1181","Joan Kennedy","American socialite, musician, author, model and first wife of US Senator Ted Kennedy","U.S. Political Family"
"1182","Joan Mondale","artist and author and served on the boards of several organizations","Writer"
"1183","Joan Rivers","American comedian, actress, writer, producer, and television host noted for her often controversial comedic persona","Acting Entertainer"
"1184","Joanna Carson","best known as ex-wife to Johnny Carson","other"
"1185","Joanna Pacitti","American singer and former lead vocalist in the band City (Comma) State","Musical Entertainer"
"1186","Joaquin Andujar","Dominican professional baseball pitcher who played in Major League Baseball (MLB) for the Houston Astros","Athlete"
"1187","Joaquin Phoenix","American actor, producer, music video director, musician and activist","Musical / Acting Entertainer"
"1188","JoBeth Williams","American film, television and stage actress","Acting Entertainer"
"1189","Jocelyn Wildenstein","New York City socialite known for extensive facial surgeries, her divorce from Alec Wildenstein in 1999, and for her extravagant lifestyle","other"
"1190","Jodi Arias","best known as murderer of her ex-boyfriend Travis Alexander","Criminal"
"1191","Jodie Foster","American actress and filmmaker who has worked in films and on television","Acting Entertainer"
"1192","Jody Powell","White House Press Secretary during the presidency of Jimmy Carter","U.S. Politician"
"1193","Joe Barton","Republican politician, representing Texas's 6th congressional district (map) in the U.S. House of Representatives since 1985, and a member of the Tea Party Caucus","U.S. Politician"
"1194","Joe Buck","American sportscaster and the son of sportscaster Jack Buck","News Entertainer"
"1195","Joe Cocker","English singer and musician","Musical Entertainer"
"1196","Joe DiMaggio","American Major League Baseball center fielder who played his entire 13-year career for the New York Yankees","Athlete"
"1197","Joe Esposito","Elvis Presley's road manager and friend. author, publisher","other"
"1198","Joe Franklin","American radio and television host personality from New York City","News Entertainer"
"1199","Joe Garagiola","American professional baseball catcher, later an announcer and television host, popular for his colorful personality","Athlete / News Entertainer"
"1200","Joe Jackson","talent manager, father of the Jackson family of entertainers","Musical Entertainer"
"1201","Joe Lieberman","American politician and former United States Senator from Connecticut","U.S. Politician"
"1202","Joe Manchin","senior United States Senator from West Virginia","U.S. Politician"
"1203","Joe Pantoliano","American actor","Acting Entertainer"
"1204","Joe Perry","lead guitarist, backing and occassional lead vocalist and contributing songwriter for the American rock band Aerosmith","Musical Entertainer"
"1205","Joe Pesci","Italian American actor, rapper, singer, comedian and musician, known for playing tough, volatile characters, in a variety of genres","Musical / Acting Entertainer"
"1206","Joe Rogan","American stand-up comedian, sports color commentator, television host, actor, and podcast host","Acting Entertainer"
"1207","Joe Trippi","American Democratic campaign worker and consultant","U.S. Politician"
"1208","Joe Wilson","US Representative for South Carolina's 2nd congressional district","U.S. Politician"
"1209","Joel Grey","American actor, singer, dancer, and photographer","Musical / Acting Entertainer"
"1210","Joel Siegel","American film critic for the ABC morning news show Good Morning America for over 25 years","News Entertainer"
"1211","Joel Surnow","American television writer, producer, and director","Acting Entertainer"
"1212","Joey Adams","American comedian who was inducted into the New York Friars' Club in 1977 and wrote the book Borscht Belt in 1973","Other Entertainer"
"1213","Joey Buttafuoco","auto body shop owner from Long Island","other"
"1214","Joey Fatone","American singer, dancer, actor and television personality","Musical / Acting Entertainer"
"1215","Joey LaMotta","brother and one time manager of former world middleweight boxing champion, Jake LaMotta","other"
"1216","Joey Lawrence","American actor, singer, and game show host","Musical / Acting Entertainer"
"1217","Joey McIntyre","American singer-songwriter and actor","Musical / Acting Entertainer"
"1218","John Anderson","Former US Congressman and presidential candidate from Illinois (during 1980 election season)","U.S. Politician"
"1219","John Ashcroft","American attorney and politician who served as the 79th U.S. Attorney General (2001–2005), in the George W. Bush Administration","U.S. Politician"
"1220","John Barrymore","American actor on stage, screen and radio","Acting Entertainer"
"1221","John Boehner","American politician who served as the 53rd Speaker of the United States House of Representatives from 2011 to 2015","U.S. Politician"
"1222","John Connally","American politician","U.S. Politician"
"1223","John Conyers","U.S. Representative for Michigan's 13th congressional district","U.S. Politician"
"1224","John Cougar Mellencamp","American musician, singer-songwriter, painter, and actor","Musical / Acting Entertainer"
"1225","John Daly","American professional golfer on the PGA tour","Athlete"
"1226","John Dean","White House Counsel for US President Richard Nixon","U.S. Politician"
"1227","John DeLorean","American engineer and executive in the U.S. automobile industry, widely known for his work at General Motors and as founder of the DeLorean Motor Company","Business Leader"
"1228","John Denver","American musician, singer-songwriter, record producer, activist, actor, and humanitarian, whose greatest commercial success was as a solo singer, starting in the 1970s","Musical / Acting Entertainer"
"1229","John Edward","American television personality, author and alleged psychic medium","News Entertainer"
"1230","John Edwards","former American politician who served as a U.S. Senator from North Carolina","U.S. Politician"
"1231","John Ensign","American veterinarian and former politician based in Las Vegas, Nevada","U.S. Politician"
"1232","John F. Kennedy","American politician who served as the 35th President of the United States from January 1961 until his assassination in November 1963","U.S. Politician"
"1233","John F. Lehman","American investment banker and writer who served as Secretary of the Navy in the Reagan administration where he promoted the creation of a 600-ship Navy","other"
"1234","John Galliano","Gibraltar-born British fashion designer who was the head designer of French fashion companies Givenchy, Christian Dior, and his own label John Galliano","Fashion Industry"
"1235","John Glenn","United States Marine Corps aviator, engineer, astronaut, and United States Senator from Ohio","U.S. Politician"
"1236","John Goodman","American actor","Acting Entertainer"
"1237","John Gray","American relationship counselor, lecturer, author, best known for his book ""Men Are from Mars, Women Are from Venus""","Writer"
"1238","John Harwood","American journalist who is the chief Washington correspondent for CNBC","News Entertainer"
"1239","John Hinckley","American who, on March 30, 1981, attempted to assassinate U.S. President Ronald Reagan in Washington, D.C.","Criminal"
"1240","John Huang","Major figure in the 1996 US campaign finance controversy, pleaded guilty to a felony conspiracy charge for violating campaign finance laws","Criminal"
"1241","John Kasich","American politician, the 69th and current Governor of Ohio","U.S. Politician"
"1242","John Kenneth Galbraith","Canadian economist, public official, and diplomat, and a leading proponent of 20th-century American liberalism","U.S. Politician"
"1243","John Kerry","American diplomat and politician who served as the 68th United States Secretary of State from 2013 to 2017","U.S. Politician"
"1244","John King","American news anchor","News Entertainer"
"1245","John Kruk","American former Major League Baseball player and former baseball analyst for ESPN","Athlete / News Entertainer"
"1246","John Lennon","English singer and songwriter who co-founded the Beatles, the most commercially successful band in the history of popular music","Musical Entertainer"
"1247","John Madden","former American football coach and broadcaster for the National Football League","Athlete / News Entertainer"
"1248","John Major","British politician who served as the Prime Minister of the United Kingdom and Leader of the Conservative Party from 1990 to 1997","Non-U.S. Politician"
"1249","John Malkovich","American actor, director, and producer","Acting Entertainer"
"1250","John Mark Karr","best known for falsely confessing to the sexual assault and murder of 6-year-old JonBenét Ramsey, was not convicted","other"
"1251","John Mayer","American singer-songwriter, guitarist, and producer","Musical Entertainer"
"1252","John McCain","American politican who currently serves as the senior United States Senator from Arizona","U.S. Politician"
"1253","John McEnroe","American former World No. 1 professional tennis player, often rated among the greatest players of all time in the sport","Athlete"
"1254","John McLaughlin","American TV personality and political commentator","News Entertainer"
"1255","John Murtha","American politician from the U.S. state of Pennsylvania","U.S. Politician"
"1256","John Newcombe","former tennis player from Australia who won seven Grand Slam singles titles and an all-time record 17 doubles titles","Athlete"
"1257","John Oates","American rock, R&B and soul guitarist, musician, songwriter and record producer best known as half of the rock and soul duo, Hall & Oates","Musical Entertainer"
"1258","John Phillips","American singer, guitarist, songwriter, and promoter, best known as member of The Mamas & The Papas","Musical Entertainer"
"1259","John Quiñones","ABC News correspondent, and currently the host of What Would You Do?","News Entertainer"
"1260","John Rocker","retired American Major League Baseball relief pitcher","Athlete"
"1261","John Seigenthaler","American journalist, writer, and political figure","News Entertainer"
"1262","John Stockton","American retired professional basketball player","Athlete"
"1263","John Tesh","American pianist and composer of pop music, as well as a radio host and television presenter","Musical Entertainer"
"1264","John Tower","first Republican United States senator from Texas since Reconstruction","U.S. Politician"
"1265","John Travolta","American actor, producer, dancer, and singer","Musical / Acting Entertainer"
"1266","John Walsh","American television personality, criminal investigator, human and victim rights advocate, and the host, as well as creator, of America's Most Wanted","News Entertainer"
"1267","John Wayne Bobbitt","best known for having his penis cut off by his wife","other"
"1268","Johnnie Cochran","American lawyer best known for his leadership role in the defense and criminal acquittal of O. J. Simpson for the murder of his former wife, Nicole Brown Simpson and her friend, Ron Goldman","Law Professional"
"1269","Johnny Carson","American talk show host and comedian, best known for his 30 years as host of The Tonight Show Starring Johnny Carson","News Entertainer"
"1270","Johnny Cash","American singer-songwriter, guitarist, actor, and author","Musical / Acting Entertainer"
"1271","Johnny Depp","American actor, producer, and musician","Musical / Acting Entertainer"
"1272","Johnny Weir","American figure skater","Athlete"
"1273","Johnny Whitaker","American actor notable for several performances for film and television during his childhood","Acting Entertainer"
"1274","Jon Cryer","American actor, screenwriter, television director, and film producer","Acting Entertainer"
"1275","Jon Gilbert","soundman for TV show Most Haunted","Acting Entertainer"
"1276","Jon Huntsman","American politician, businessman, and diplomat who served as the 16th Governor of Utah from 2005 to 2009, and as U.S. Ambassador to Singapore from 1992 to 1993, and China from 2009 to 2011","U.S. Politician"
"1277","Jon Lovitz","American comedian, actor and singer, best known as a cast member of Saturday Night Live from 1985 to 1990","Musical / Acting Entertainer"
"1278","Jonah Hill","American actor, producer, screenwriter and comedian","Acting Entertainer"
"1279","Jonathan Knight","American singer","Musical Entertainer"
"1280","Jonathan Lipnicki","American actor","Acting Entertainer"
"1281","Jonathan Pryce","Welsh actor and singer","Musical / Acting Entertainer"
"1282","Jonda McFarlane","best known as wife of National Security Advisor Robert McFarlane","U.S. Political Family"
"1283","Jordan Black","American comedy writer and actor","Acting Entertainer"
"1284","Jordan Knight","American singer-songwriter best known as the lead singer in the boy band New Kids on the Block, and as an actor, who rose to fame in the 1980s and 1990s","Musical / Acting Entertainer"
"1285","Jorge Garcia","American actor and comedian","Acting Entertainer"
"1286","Jorge Ramos","Mexican-born American journalist and author","News Entertainer"
"1287","Jose Canseco","Cuban-American former Major League Baseball (MLB) outfielder, and designated hitter","Athlete"
"1288","Jose Tardencillas Espinosa","best known as a Nicaraguan captured in El Salvador while fighting guerrillas and called upon as a witness by the Regan Administration","other"
"1289","Joseph Biden","American politician who was the 47th Vice President of the United States from 2009 to 2017, having been jointly elected twice with President Barack Obama","U.S. Politician"
"1290","Joseph Dunford","United States Marine Corps general","other"
"1291","Joseph Goebbels","German politician and Reich Minister of Propaganda of Nazi Germany from 1933 to 1945","Non-U.S. Politician"
"1292","Joseph Hazelwood","American sailor, best known as captain of Exxon Valdez during its 1989 oil spill","other"
"1293","Joseph Stalin","leader of the Soviet Union from the mid-1920s until his death in 1953","Non-U.S. Politician"
"1294","Joseph Wapner","American retired judge and former television judge","Law Professional"
"1295","Josh Drimmer","playwright best known for strolling naked through Times Square","other"
"1296","Josh Duggar","American television personality, political activist, and former used car salesman known for his appearances on the reality television show 19 Kids and Counting which focuses on the life of the Duggar family","Reality TV Star"
"1297","Josh Groban","American singer, songwriter, actor, and record producer","Musical Entertainer"
"1298","Josh Peck","American actor, voice actor and comedian","Acting Entertainer"
"1299","Josh Romney","best known as son of politician Mitt Romney","U.S. Political Family"
"1300","Joshua Gracin","American country music singer","Musical Entertainer"
"1301","Joshua Nkomo","leader and founder of the Zimbabwe African People's Union (ZAPU) and a member of the Ndebele (Kalanga) tribe","Non-U.S. Politician"
"1302","Joss Stone","English singer, songwriter and actress","Musical / Acting Entertainer"
"1303","Joy Behar","American comedian, writer, and actress","Acting Entertainer"
"1304","Joy Philbin","American television personality and is the wife of television personality, Regis Philbin","News Entertainer"
"1305","Joyce ""Fenderella"" Irby","best known as the bassist and co-lead vocalist of the 1980s all-girl band Klymaxx","Musical Entertainer"
"1306","Joycelyn Elders","American pediatrician and public health administrator, first African American appointed as Surgeon General of the United States","U.S. Politician"
"1307","Juan Peron","Argentine lieutenant general and politician","Non-U.S. Politician"
"1308","Juan Williams","Panamanian-born American journalist and political analyst for Fox News Channel","News Entertainer"
"1309","Judd Nelson","American actor, screenwriter, and producer","Acting Entertainer"
"1310","Judge Judy Sheindlin","American lawyer, former judge, television personality, producer, and author","Acting Entertainer"
"1311","Judith Nathan","registered nurse, fundraiser for charitable organizations, and the wife of former New York City Mayor Rudy Giuliani","U.S. Political Family"
"1312","Judy Garland","American singer, actress, and vaudevillian","Musical / Acting Entertainer"
"1313","Judy Woodruff","American television news anchor, a journalist, and a writer","News Entertainer"
"1314","Jules Asner","American television personality, writer, and former fashion model","News Entertainer"
"1315","Julia Child","American chef, author and television personality","News Entertainer"
"1316","Julia Louis-Dreyfus","American actress, comedian, and producer","Acting Entertainer"
"1317","Julia Roberts","American actress and producer","Acting Entertainer"
"1318","Julian Assange","Australian computer programmer, publisher and journalist","News Entertainer"
"1319","Julian Lynch","model","Other Entertainer"
"1320","Julianna Margulies","American actress and producer","Acting Entertainer"
"1321","Julie Andrews","English film and stage actress, a singer, an author, a theatre director and a dancer","Musical / Acting Entertainer"
"1322","Julie Brown","American actress, comedian, screen/television writer, singer-songwriter, and television director","Musical / Acting Entertainer"
"1323","Julie Chen","American television personality, news anchor, and producer for CBS","Acting Entertainer"
"1324","Julie Cobb","longtime American actress","Acting Entertainer"
"1325","Julie Dawn Cole","English television, film and stage actress who has been active for some 40 years","Acting Entertainer"
"1326","Julie Nixon","daughter of Richard M. Nixon, 37th President of the United States, and Pat Nixon, First Lady of the United States","U.S. Political Family"
"1327","Julie Taymor","American director of theater, opera and film","Acting Entertainer"
"1328","Juliette Lewis","American actress and singer","Musical / Acting Entertainer"
"1329","Julio Iglesias","Spanish singer and songwriter who has been awarded with the Guinness Record thrice","Musical Entertainer"
"1330","Julio Iglesias Jr.","Spanish singer","Musical Entertainer"
"1331","Julius Erving","American retired basketball player who helped popularize a modern style of play that emphasizes leaping and playing above the rim","Athlete"
"1332","June Shannon","Reality TV Star, best known as ""Mama June"" on ""Here comes Honey Boo Boo""","Reality TV Star"
"1333","Justin Bartha","American actor, writer, and producer","Acting Entertainer"
"1334","Justin Bieber","Canadian singer and songwriter","Musical Entertainer"
"1335","Justin Guarini","American singer/musician, actor, host and producer, who in 2002 was the runner-up on the first season of American Idol","Reality TV Star"
"1336","Justin Timberlake","American singer, songwriter, actor and record producer","Musical / Acting Entertainer"
"1337","Justin Vernon","American multi-instrumentalist, singer, songwriter and producer","Musical / Acting Entertainer"
"1338","K.D. Lang","Canadian pop and country singer-songwriter and occasional actress","Musical / Acting Entertainer"
"1339","Kaci Hickox","American nurse, best known for being 1st person placed under new mandatory quarantine rules after returning to the US from treating ebola patients in Sierra Leone","other"
"1340","Kanye West","American rapper, songwriter, record producer, fashion designer, and entrepreneur","Musical / Acting Entertainer"
"1341","Kara Saun","American fashion designer who participated in the first season of American reality show Project Runway","Reality TV Star"
"1342","Karen Brown","News director","News Entertainer"
"1343","Karen Duffy","American model, television personality, and actress","News Entertainer"
"1344","Karen Santorum","American attorney and Republican Party politician","U.S. Politician"
"1345","Karl Becker","Citizen best known for asking final question in 2016 presidential debate","other"
"1346","Karl Lagerfeld","best known as head designer and creative director of the fashion house Chanel as well as the Italian house Fendi and his own fashion label","Fashion Industry"
"1347","Karl Malden","American actor","Acting Entertainer"
"1348","Karl Rove","American Republican political consultant and policy advisor","U.S. Politician"
"1349","Kate Bolduan","American broadcast journalist","News Entertainer"
"1350","Kate Gosselin","American television personality","News Entertainer"
"1351","Kate Middleton","Duchess of Cambridge, wife of Prince William","Non-U.S. Politician"
"1352","Kate Pierson","American vocalist, lyricist, and one of the lead singers and founding members of The B-52's","Musical Entertainer"
"1353","Kate Winslet","English actress and singer","Musical / Acting Entertainer"
"1354","Katharine Hepburn","American actress","Acting Entertainer"
"1355","Katherine Harris","politician, elected in 1998 as Secretary of State of Florida and in 2002 to the United States House of Representatives from Florida","U.S. Politician"
"1356","Kathie Lee Gifford","American television host, singer, songwriter, comedian, and actress, best known for her 15-year run on the talk show Live! with Regis and Kathie Lee","News Entertainer"
"1357","Kathleen Gingrich","best known as mother of Republican politician Newt Gingrich","U.S. Political Family"
"1358","Kathleen Sebelius","American politician who served as the 21st United States Secretary of Health and Human Services from 2009 until 2014","U.S. Politician"
"1359","Kathleen Willey","former White House volunteer aide who, on March 15, 1998, alleged on the TV news program 60 Minutes that Bill Clinton had sexually assaulted her on November 29, 1993, during his first term as President","other"
"1360","Kathryn Crosby","American former actress and singer who performed in films under the stage-names Kathryn Grant and Kathryn Grandstaff","Musical / Acting Entertainer"
"1361","Kathy Best","best known as wife of Pete Best, original drummer of The Beatles","other"
"1362","Kathy Griffin","American stand up comedian, writer, producer, actress, and television host","News Entertainer"
"1363","Kathy Ireland","American model and actress, turned author and entrepreneur","Acting Entertainer"
"1364","Katie Couric","American journalist and author","News Entertainer"
"1365","Katie Holmes","American actress, model, and filmmaker who first achieved fame for her role as Joey Potter on The WB television teen drama Dawson's Creek","Acting Entertainer"
"1366","Katrina Campins","real estate agent, reality TV star on The Apprentice","Reality TV Star"
"1367","Katt Williams","American stand-up comedian, actor, rapper, singer and voice artist","Musical / Acting Entertainer"
"1368","Katy Perry","American singer and songwriter","Musical Entertainer"
"1369","Kay Bailey Hutchison","former United States Senator from Texas","U.S. Politician"
"1370","Kayleigh McEnany","American political writer, conservative pundit and commentator employed by CNN","News Entertainer"
"1371","Kazuko Shiraishi","Japanese poet and translator who was born in Vancouver, Canada","Writer"
"1372","Ke$ha","American singer, songwriter, and rapper","Musical Entertainer"
"1373","Keanu Reeves","Canadian actor, producer, and musician","Musical / Acting Entertainer"
"1374","Kei","singer, actress, best known for appearing in American TV series ""Pink Lady"" and in musical duo of the same name","Musical / Acting Entertainer"
"1375","Keira Knightley","English actress","Acting Entertainer"
"1376","Keith Flint","English singer and dancer, best known as the vocalist for the band The Prodigy","Musical Entertainer"
"1377","Keith Moon","English drummer who played with the English rock band the Who","Musical Entertainer"
"1378","Keith Morrison","Canadian broadcast journalist","News Entertainer"
"1379","Keith Olbermann","American sports and political commentator and writer","News Entertainer"
"1380","Keith Richards","English guitarist, singer, songwriter, best-selling memoirist and founding member of the rock band The Rolling Stones","Musical Entertainer"
"1381","Keith Urban","New Zealand-born Australian-American country musician","Musical Entertainer"
"1382","Kelis","American singer-songwriter and certified chef","Musical Entertainer"
"1383","Kelly O'Donnell","American journalist","News Entertainer"
"1384","Kelly Osbourne","British singer-songwriter, actress, television presenter and fashion designer","Musical / Acting Entertainer"
"1385","Kelly Ripa","American actress, dancer, talk show host, and television producer","Musical / Acting Entertainer"
"1386","Kellyanne Conway","American political activist currently serving as Counselor to President Donald Trump","U.S. Politician"
"1387","Ken Anderson","former American football quarterback who spent his entire professional career playing for the Cincinnati Bengals of the National Football League (NFL) and later returned as a position coach","Athlete"
"1388","Ken Bone","American basketball coach who is currently an assistant men's basketball coach at Gonzaga University","Athlete"
"1389","Ken Karpowicz","best known for asking a question during the 2016 town-hall presidential debate","other"
"1390","Ken Mehlman","American businessman, attorney, and political figure","Law Professional"
"1391","Ken Norton","American professional boxer who competed from 1967 to 1981, and held the WBC heavyweight title from 1977 to 1978","Athlete"
"1392","Kendall Jenner","American fashion model and television personality","Reality TV Star"
"1393","Kendrick Lamar","American rapper and songwriter","Musical Entertainer"
"1394","Kenneth Starr","American lawyer who has also been a federal judge and U.S. Solicitor General","Law Professional"
"1395","Kenny G","American saxophonist","Musical Entertainer"
"1396","Kenny Loggins","American singer-songwriter and guitarist","Musical Entertainer"
"1397","Kenny McCaughey","best known as father of septuplets born in 1997","other"
"1398","Kenny Rogers","American singer, songwriter, actor record producer, and entrepreneur","Musical / Acting Entertainer"
"1399","Kenny Smith","American retired professional basketball player who played in the National Basketball Association (NBA)","Athlete"
"1400","Keri Russell","American actress and dancer","Musical / Acting Entertainer"
"1401","Kerri Strug","American retired gymnast from Tucson, Arizona","Athlete"
"1402","Kevin Bacon","American actor and musician","Musical / Acting Entertainer"
"1403","Kevin Eubanks","American jazz and fusion guitarist and composer who was the leader of the Tonight Show Band with host Jay Leno from 1995 to 2010","Musical Entertainer"
"1404","Kevin Federline","former American dancer, rapper, and fashion model","Musical Entertainer"
"1405","Kevin Garnett","American former professional basketball player who played the power forward and center positions for 21 seasons in the National Basketball Association (NBA)","Athlete"
"1406","Kevin Harlan","American TV and radio sports announcer","News Entertainer"
"1407","Kevin O'Leary","Canadian businessman, and television and radio personality","News Entertainer"
"1408","Kevin Pollak","American actor, impressionist, and comedian","Acting Entertainer"
"1409","Kevin Rowland","English singer-songwriter and frontman for the pop band Dexys Midnight Runners ","Musical Entertainer"
"1410","Kevin Smith","American filmmaker, actor, comedian, public speaker, comic book writer, author, and podcaster","Acting Entertainer"
"1411","Kevin Spacey","American actor, film director, producer, screenwriter, and singer","Musical / Acting Entertainer"
"1412","Khalid Shaikh Mohammed","militant held by the United States at the Guantanamo Bay detention camp under terrorism-related charges","Criminal"
"1413","Khloé Kardashian","American television personality, socialite, model, businesswoman and entrepreneur","Reality TV Star"
"1414","Kid Rock","American singer, rapper, songwriter, musician, record producer, and actor","Musical / Acting Entertainer"
"1415","Kim Cattrall","English-Canadian actress","Acting Entertainer"
"1416","Kim Davis","county clerk in KY, best known for denying marriage licenses to same-sex couples following the US Supreme Court decision.","other"
"1417","Kim Jong Il","the supreme leader of the Democratic People's Republic of Korea (North Korea) from 1994-2011","Non-U.S. Politician"
"1418","Kim Jong-un","Chairman of the Worker's Party of Korea and supreme leader of the Democratic People's Republic of Korea (North Korea)","Non-U.S. Politician"
"1419","Kim Kardashian","American reality television personality, socialite, actress, businesswoman and model","Reality TV Star"
"1420","Kim Wayans","American actress, comedian, producer, writer and director","Acting Entertainer"
"1421","Kimberley Locke","American singer, songwriter and model","Musical Entertainer"
"1422","Kimbo Slice","Bahamian-born American mixed martial artist, boxer and occasional actor","Athlete"
"1423","Kirk Cameron","American actor","Acting Entertainer"
"1424","Kirk Douglas","American actor, producer, director, and author","Acting Entertainer"
"1425","Kirk Krack","Founder of Performance Freediving International (freediving training agency)","other"
"1426","Kirsten Dunst","American actress","Acting Entertainer"
"1427","Kirstie Alley","American actress, comedian and spokesmodel","Acting Entertainer"
"1428","Kit Harington","English actor","Acting Entertainer"
"1429","Kitty Dukakis","wife of former Massachusetts governor and U.S. presidential candidate Michael Dukakis","U.S. Political Family"
"1430","Kitty Kelley","American journalist and author of several best-selling unauthorized biographies","News Entertainer"
"1431","Klaus Barbie","SS-Hauptsturmführer (rank equivalent to army captain) and Gestapo member","other"
"1432","Kobe Bryant","American retired professional basketball player and businessman","Athlete"
"1433","Kourtney Kardashian","American television personality, socialite, businesswoman and model","Reality TV Star"
"1434","Kris Humphries","American professional basketball player for the Atlanta Hawks of the National Basketball Association (NBA)","Athlete"
"1435","Kris Jenner","American television personality who rose to fame for starring in the reality television series Keeping Up with the Kardashians, together with her family","Reality TV Star"
"1436","Kris Kristofferson","American singer, songwriter, musician and actor","Musical / Acting Entertainer"
"1437","Kristen Stewart","American actress and model","Acting Entertainer"
"1438","Kristin Cavallari","American television personality, fashion designer, and actress","Acting Entertainer"
"1439","Kristin Chenoweth","American actress and singer, with credits in musical theatre, film and television","Musical / Acting Entertainer"
"1440","Kristy Joe Muller","reality tv star, appeared on VH1's Rock of Love 2","Reality TV Star"
"1441","Kurt Cobain","American musician, artist, songwriter, guitarist and poet","Musical Entertainer"
"1442","Kyan Douglas","television personality and stylist","News Entertainer"
"1443","Kyra Sedgwick","American actress and producer","Acting Entertainer"
"1444","Lady Gaga","American singer, songwriter, and actress","Musical / Acting Entertainer"
"1445","Lamar Alexander","American politician, and the senior United States Senator from Tennessee, having served since 2003","U.S. Politician"
"1446","Lamar Odom","American retired professional basketball player","Athlete"
"1447","Lana Del Rey","American singer, songwriter, and model","Musical Entertainer"
"1448","Lance Armstrong","American former professional road racing cyclist","Athlete"
"1449","Lance Bass","American pop singer, dancer, actor, film and television producer, and author","Musical / Acting Entertainer"
"1450","Lance Ito","American retired judge best known for presiding over the O.J. Simpson murder case while on the bench of the Superior Court of Los Angeles County, California","Law Professional"
"1451","Lara Logan","South African television and radio journalist and war correspondent","News Entertainer"
"1452","Lara Stone","Dutch model","Other Entertainer"
