"","Character","Occupation","Category"
"205","Bill Ayers","American elementary education theorist and a former leader in the counterculture movement who opposed US involvement in the Vietnam War","other"
"206","Bill Belichick","American football coach who is the head coach of the New England Patriots of the National Football League (NFL)","Athlete"
"207","Bill Bellamy","American actor and stand-up comedian","Acting Entertainer"
"208","Bill Bradley","American former professional basketball player and politician","Athlete"
"209","Bill Clinton","American politician who served as the 42nd President of the United States from 1993 to 2001","U.S. Politician"
"210","Bill Cosby","American stand-up comedian, actor, author, and singer","Musical / Acting Entertainer"
"211","Bill Cowher","former professional American football coach and player in the National Football League (NFL)","Athlete"
"212","Bill Frist","American physician, businessman, and politician","U.S. Politician"
"213","Bill Gates","American business magnate, investor, author, and philanthropist","Writer"
"214","Bill Grundy","English television presenter and host of Today, a regional news programme broadcast on Thames Television","News Entertainer"
"215","Bill Kurtis","American television journalist, producer, narrator, and news anchor","News Entertainer"
"216","Bill Moyers","American journalist and political commentator","News Entertainer"
"217","Bill O'Reilly","American television host, author, journalist, syndicated columnist, and political commentator","News Entertainer"
"218","Bill Oefelein","American businessman and a former test pilot instructor, naval officer and NASA astronaut who, on his only spaceflight, piloted the STS-116 Space Shuttle mission","other"
"219","Bill Paxton","American actor and director","Acting Entertainer"
"220","Bill Richardson","American politician who was 30th Governor of New Mexico, from 2003 to 2011","U.S. Politician"
"221","Bill Walsh","American football coach, popularized the West Coast offense","Athlete"
"222","Billie Jean King","American former World No. 1 professional tennis player","Athlete"
"223","Billie Joe Armstrong","American musician, singer, songwriter and actor who is best known as the lead vocalist, primary songwriter, and guitarist of the punk rock band Green Day, which he co-founded with Mike Dirnt","Musical / Acting Entertainer"
"224","Billy Bob Thornton","American actor, filmmaker, singer, songwriter, and musician","Musical / Acting Entertainer"
"225","Billy Bush","American radio and television host, and a member of the Bush family that includes two former U.S. presidents and other nationally known political figures spanning several generations","News Entertainer"
"226","Billy Carter","American farmer, businessman, and politician","U.S. Politician"
"227","Billy Crystal","American actor, writer, producer, director, comedian and television host","Acting Entertainer"
"228","Billy Dee Williams","American actor, artist, singer, and writer","Musical / Acting Entertainer"
"229","Billy Idol","English musician, singer, songwriter, and actor","Musical / Acting Entertainer"
"230","Billy Joel","American singer-songwriter and pianist","Musical Entertainer"
"231","Billy Ocean","Trinidadian-born English recording artist who had a string of R&B international pop hits in the 1970s and 1980s","Musical Entertainer"
"232","Billy Ray Cyrus","American singer, songwriter and actor","Musical / Acting Entertainer"
"233","Billy Wilder","Austrian-born Jewish American filmmaker, screenwriter, producer, artist and journalist, whose career spanned more than fifty years and sixty films","Acting Entertainer"
"234","Bing Crosby","American singer and actor","Musical / Acting Entertainer"
"235","Bjork","Icelandic singer, songwriter, producer, DJ, and actress","Musical / Acting Entertainer"
"236","Blake Shelton","American singer, songwriter, and television personality","Musical / Acting Entertainer"
"237","Bob Barr","American former federal prosecutor and a former Congressman","U.S. Politician"
"238","Bob Costas","American sportscaster, on the air for NBC Sports television since the early 1980s","News Entertainer"
